name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
100% Cotton 152 TC Double Bedsheet With 2 Pillow Covers, ,"₹ 1,499",₹ 659,(56% Off),,,https://www.pepperfry.com/brown-100-cotton-88x100-inches-king-bedsheet-with-1-pillow-cover-by-storyhome-1738709.html?type=search&pos=1:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
Polyester 100TC Double Bedsheet With 2 Pillow Covers, ,₹ 999,₹ 399,(60% Off),,,https://www.pepperfry.com/polyester-100tc-double-bedsheet-with-2-pillow-covers-1853155.html?type=search&pos=2:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
Cotton 160TC Double Bedsheet With 2 Pillow Covers, ,"₹ 1,199",₹ 748,(38% Off),,,https://www.pepperfry.com/rajasthan-decor-multicolour-cotton-king-size-bedsheet-set-of-3-1577580.html?type=search&pos=3:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
Solid Cotton 250TC King Size Bedsheet in Grey with 2 Pillow Covers, ,"₹ 2,799","₹ 1,299",(54% Off),,,https://www.pepperfry.com/solid-cotton-250tc-king-size-bedsheet-in-grey-with-2-pillow-covers-by-home-affair-1899977.html?type=search&pos=4:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
Sateen 100% Cotton 400TC King Size Bedsheet With 2 Pillow Covers, ,,"₹ 3,499",,,,https://www.pepperfry.com/sateen-100-cotton-400tc-king-size-bedsheet-with-2-pillow-covers-1870763.html?type=search&pos=5:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
Cotton Double Bedsheet with two Pillow Covers, ,₹ 995,₹ 599,(40% Off),,,https://www.pepperfry.com/144-tc-cotton-double-bedsheet-with-two-pillow-covers-1889507.html?type=search&pos=6:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
Cotton 400TC Super King Size Bedsheet With 2 Pillow Covers, ,"₹ 2,699","₹ 1,899",(30% Off),,,https://www.pepperfry.com/solid-collection-400tc-king-size-bedsheet-with-2-pillow-covers-1863523.html?type=search&pos=7:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
Casablanca 100% Cotton 210TC Embroidered Double Bedsheet With 2 Pillow Covers, ,"₹ 3,040","₹ 2,889",(5% Off),,,https://www.pepperfry.com/casablanca-latte-100-cotton-210-tc-embroidered-double-bed-sheet-with-2pillow-cov-1846939.html?type=search&pos=8:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
Satin 210TC Queen Size Bedsheet with 2 Pillow Covers, ,"₹ 1,899","₹ 1,299",(32% Off),,,https://www.pepperfry.com/satin-210tc-queen-size-bedsheet-with-2-pillow-covers-1879158.html?type=search&pos=9:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
Cotton 160TC Double Bedsheet With 2 Pillow Covers, ,"₹ 1,199",₹ 929,(23% Off),,,https://www.pepperfry.com/rajasthan-decor-multicolour-cotton-king-size-bedsheet-set-of-3-1577577.html?type=search&pos=10:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
Polyester 100TC Double Bedsheet With 2 Pillow Covers, ,₹ 999,₹ 399,(60% Off),,,https://www.pepperfry.com/polyester-100tc-double-bedsheet-with-2-pillow-covers-1853165.html?type=search&pos=11:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
Cotton 144TC Single Bedsheet With 1 Pillow Cover, ,"₹ 1,299",₹ 699,(46% Off),,,https://www.pepperfry.com/cotton-144tc-single-bed-sheet-with-1-pillow-cover-by-rajasthan-d-cor-1859628.html?type=search&pos=12:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
100% Cotton 144TC Double Bedsheet With 2 Pillow Covers, ,"₹ 1,449",₹ 929,(36% Off),,,https://www.pepperfry.com/ethnic-motifs-144-tc-100-cotton-king-size-bedsheet-with-2-pillow-covers-by-raja-1676518.html?type=search&pos=13:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
Cotton 144TC Double Bedsheet with 2 Pillow Covers, ,"₹ 1,999","₹ 1,089",(46% Off),,,https://www.pepperfry.com/cotton-144tc-double-bed-sheet-and-2-pillow-cover-by-rajasthan-d-cor-1859621.html?type=search&pos=14:1&total_result=2840&searchterm=&searchterm=bedsheet&as=0&cat=0
