name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
White Casual Dresses for Girl's,1 left,"₹1,155",₹380,(67% off),,,https://www.hopscotch.in/product/794750/caizhen-white-casual-dresses-for-girl's?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Blue Sleeveless Thread Girl Party Frock,2 left,"₹1,599",₹881,(45% off),,,https://www.hopscotch.in/product/1035227/titrit-blue-sleeveless-thread-girl-party-frock?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Casual Dress For Girl's Yellow,,,₹249,,,,https://www.hopscotch.in/product/1030382/amul-kandyfloss-casual-dress-for-girl's-yellow?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Casual Dress For Girl's Pink,3 left,,₹249,,,,https://www.hopscotch.in/product/1030411/amul-kandyfloss-casual-dress-for-girl's-pink?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Blue Petals  girl party frock,,"₹1,499",₹999,(33% off),,,https://www.hopscotch.in/product/1035220/titrit-blue-petals-girl-party-frock?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Casual Dress For Girl's Pink,,₹249,₹214,(14% off),,,https://www.hopscotch.in/product/1030381/amul-kandyfloss-casual-dress-for-girl's-pink?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Casual Dress For Girl's Pink,,₹293,₹238,(19% off),,,https://www.hopscotch.in/product/1030402/amul-kandyfloss-casual-dress-for-girl's-pink?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Casual Dress For Girl's Green,,,₹249,,,,https://www.hopscotch.in/product/1030383/amul-kandyfloss-casual-dress-for-girl's-green?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Red Sleeveless Rose Girl Party Frock,,"₹1,599","₹1,299",(19% off),,,https://www.hopscotch.in/product/1035226/titrit-red-sleeveless-rose-girl-party-frock?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Casual Dress For Girl's Red ,1 left,,₹249,,,,https://www.hopscotch.in/product/1030413/amul-kandyfloss-casual-dress-for-girl's-red-?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Casual Dress For Girl's Blue,,₹249,₹221,(11% off),,,https://www.hopscotch.in/product/1030412/amul-kandyfloss-casual-dress-for-girl's-blue?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Casual Dress For Girl's Yellow,,₹293,₹262,(11% off),,,https://www.hopscotch.in/product/1030403/amul-kandyfloss-casual-dress-for-girl's-yellow?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Casual Dress For Girl's Pink,,,₹293,,,,https://www.hopscotch.in/product/1030404/amul-kandyfloss-casual-dress-for-girl's-pink?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Blue Coloured One Shoulder Party Wear Dress For Girl,,"₹1,499",₹599,(60% off),,,https://www.hopscotch.in/product/997246/aarika-blue-coloured-one-shoulder-party-wear-dress-for-girl?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Girl Pink Bird Cloud Dress,,"₹2,550","₹2,168",(15% off),,,https://www.hopscotch.in/product/650244/tiber-taber-girl-pink-bird-cloud-dress?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Pink Birthday Girl Tutu Frock,,"₹3,000","₹2,400",(20% off),,,https://www.hopscotch.in/product/1070279/pink-chick-pink-birthday-girl-tutu-frock?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Cream & Red Floral Printed Sleeveless Frock,1 left,"₹1,280",₹896,(30% off),,,https://www.hopscotch.in/product/1067356/tiny-girl-cream-%26-red-floral-printed-sleeveless-frock?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
Girl's Self Design Party Wear Dress,2 left,,"₹1,569",,,,https://www.hopscotch.in/product/578838/aarika-girl's-self-design-party-wear-dress?funnel=Search&funnel_tile=baby girl dresses&funnel_section=Keyword&section=Keyword&plp=baby girl dresses&from_screen=search
